,predicted_mean
2032-10-01,437.91751157483844
2032-11-01,439.5052593038158
2032-12-01,440.9491854319926
2033-01-01,442.1301237218788
2033-02-01,442.834086139596
2033-03-01,443.752123760968
2033-04-01,445.2176315322604
2033-05-01,445.84781031968174
2033-06-01,445.1272911264452
2033-07-01,443.359554343111
2033-08-01,441.3566926068935
2033-09-01,439.9070874127103
2033-10-01,440.20565064056666
2033-11-01,441.79631811714074
2033-12-01,443.20299498192173
2034-01-01,444.38491827993045
2034-02-01,445.0641514774019
2034-03-01,445.99299974506584
2034-04-01,447.4323636848315
2034-05-01,448.1007845389208
2034-06-01,447.3612689448973
2034-07-01,445.6579937068514
2034-08-01,443.59043676433294
2034-09-01,442.14561237323414
2034-10-01,442.4407995949573
2034-11-01,444.0275780766555
2034-12-01,445.4694181136116
2035-01-01,446.649599672158
2035-02-01,447.3523467464331
2035-03-01,448.2700993367825
2035-04-01,449.7338418956128
2035-05-01,450.3647554580615
2035-06-01,449.6441426429
2035-07-01,447.8795290842246
2035-08-01,445.8760481666128
2035-09-01,444.4275526859163
2035-10-01,444.7258151652158
2035-11-01,446.3153059073307
2035-12-01,447.72210747860663
2036-01-01,448.90319107407373
2036-02-01,449.58268176244644
2036-03-01,450.5105764901474
2036-04-01,451.94971780313995
2036-05-01,452.61656123814413
2036-06-01,451.8781087758731
2036-07-01,450.17411617934886
2036-08-01,448.1098704939358
2036-09-01,446.6658974862245
2036-10-01,446.9609809588342
2036-11-01,448.5467845751054
2036-12-01,449.98660664980304
2037-01-01,451.1660294762287
2037-02-01,451.867606478452
2037-03-01,452.78505404661263
2037-04-01,454.2470791362238
2037-05-01,454.8786571837102
2037-06-01,454.1579857291217
2037-07-01,452.39637737538624
2037-08-01,450.39239634104587
2037-09-01,448.9450020363182
2037-10-01,449.24296991438075
2037-11-01,450.831290799738
2037-12-01,452.2381523114467
2038-01-01,453.41839920792694
2038-02-01,454.098104120365
2038-03-01,455.02506552062295
2038-04-01,456.46393922871204
2038-05-01,457.1292739738762
2038-06-01,456.3918500712511
2038-07-01,454.6872529709518
2038-08-01,452.62620127947395
2038-09-01,451.18308662890956
2038-10-01,451.47806066004426
2038-11-01,453.0628841737075
2038-12-01,454.50075235789444
2039-01-01,455.67941460382207
2039-02-01,456.37986410243724
2039-03-01,457.29698788422775
2039-04-01,458.7573404169891
2039-05-01,459.38951690305515
2039-06-01,458.6688196685219
2039-07-01,456.9101055482557
2039-08-01,454.90573624828056
2039-09-01,453.45943505594505
2039-10-01,453.75711411857935
2039-11-01,455.3442716545754
2039-12-01,456.7511322731503
2040-01-01,457.9305453257276
2040-02-01,458.61042381541006
2040-03-01,459.53647091065307
2040-04-01,460.9750347792821
2040-05-01,461.638925449463
2040-06-01,460.90249759303015
2040-07-01,459.1974020116236
2040-08-01,457.1394340455192
2040-09-01,455.69718426726877
2040-10-01,455.99204351486134
2040-11-01,457.57588204676944
2040-12-01,459.01185659887454
2041-01-01,460.18975655914625
2041-02-01,460.8891185821404
2041-03-01,461.8059009665801
2041-04-01,463.26462319415407
2041-05-01,463.8973360607382
2041-06-01,463.1766439103769
2041-07-01,461.4207196766445
2041-08-01,459.4160671822779
2041-09-01,457.97085148423184
2041-10-01,458.2682471774646
2041-11-01,459.8542475234245
2041-12-01,461.26105011134456
2042-01-01,462.43963203553676
2042-02-01,463.11964591812784
2042-03-01,464.04479661222416
2042-04-01,465.4830109854384
2042-05-01,466.1455183284517
2042-06-01,465.41005593965605
2042-07-01,463.7045614785523
2042-08-01,461.6495735433858
2042-09-01,460.2081947216217
2042-10-01,460.5029341728343
2042-11-01,462.0857831803196
2042-12-01,463.5199207746857
2043-01-01,464.6970568787308
2043-02-01,465.39536906635544
2043-03-01,466.3117935263164
2043-04-01,467.7689251995952
2043-05-01,468.4021161372356
2043-06-01,467.6814580597735
2043-07-01,465.92822559193604
2043-08-01,463.9233886022164
2043-09-01,462.4792511990757
2043-10-01,462.7763686495739
2043-11-01,464.36121763764834
2043-12-01,465.76790853120366
2044-01-01,466.9456619113314
2044-02-01,467.62577531692216
2044-03-01,468.55004646241173
2044-04-01,469.98787410780466
2044-05-01,470.64905523690186
2044-06-01,469.9145295557734
2044-07-01,468.2087297812062
2044-08-01,466.15662436146545
2044-09-01,464.7161221753031
2044-10-01,465.0107371267283
2044-11-01,466.59259238334397
2044-12-01,468.024946325679
2045-01-01,469.20131712940076
2045-02-01,469.89861487771117
2045-03-01,470.8146659047394
2045-04-01,472.270244424166
2045-05-01,472.90385864662085
2045-06-01,472.1832618681584
2045-07-01,470.4326288975768
2045-08-01,468.42770012247564
2045-09-01,466.9846342084276
2045-10-01,467.2814782426932
2045-11-01,468.8651813974994
2045-12-01,470.2717101979174
2046-01-01,471.4486374949701
2046-02-01,472.1288167289209
2046-03-01,473.05222419020475
2046-04-01,474.4896301531863
2046-05-01,475.1495387655547
2046-06-01,474.41592274138753
2046-07-01,472.70990554728445
2046-08-01,470.6605909349376
2046-09-01,469.22097068281477
2046-10-01,469.51545672186694
2046-11-01,471.0963142983465
2046-12-01,472.5269347282214
2047-01-01,473.70253890637184
2047-02-01,474.3988555021366
2047-03-01,475.31451854519185
2047-04-01,476.7685791020437
2047-05-01,477.40256513446127
2047-06-01,476.68205522445595
2047-07-01,474.93393498269745
2047-08-01,472.9290015032229
2047-09-01,471.48700064239114
2047-10-01,471.78357580480156
2047-11-01,473.3661383618831
2047-12-01,474.77245773901274
2048-01-01,475.94856129804174
